Freq	E'	E"	tan_delta	PhaseAngle	strain
Hz	Pa	Pa	 	°	%
1.00000	1.0707e+05	10880.6	0.10162	5.803	0.49813
2.00000	1.0922e+05	11822.5	0.10825	6.178	0.49908
3.00000	1.1105e+05	13119.3	0.11814	6.738	0.50151
4.00000	1.1218e+05	14572.7	0.12990	7.401	0.50525
5.00000	1.1330e+05	15907.5	0.14040	7.992	0.51034
6.00000	1.1520e+05	17016.2	0.14772	8.403	0.51685
7.00000	1.1675e+05	17571.5	0.15050	8.559	0.52480
8.00000	1.1872e+05	18645.9	0.15706	8.926	0.53422
9.00000	1.2020e+05	19339.1	0.16089	9.140	0.54576
10.00000	1.2182e+05	20344.0	0.16700	9.481	0.55925
11.0000	1.2386e+05	19837.8	0.16016	9.099	0.57464
12.0000	1.2427e+05	22543.7	0.18141	10.282	0.50002
13.0000	1.2587e+05	22376.7	0.17778	10.081	0.51801
14.0000	1.2844e+05	22945.2	0.17864	10.129	0.53856
15.0000	1.3120e+05	23323.6	0.17777	10.080	0.56249
16.0000	1.3096e+05	24170.5	0.18456	10.457	0.50185
17.0000	1.3405e+05	24935.7	0.18602	10.538	0.53045
18.0000	1.3678e+05	24437.4	0.17866	10.130	0.56479
19.0000	1.3773e+05	25899.1	0.18804	10.649	0.50142
20.0000	1.4058e+05	25441.0	0.18098	10.258	0.54324
21.0000	1.4150e+05	25736.8	0.18188	10.308	0.50065
22.0000	1.4590e+05	25393.4	0.17405	9.873	0.55621
23.0000	1.4711e+05	26288.0	0.17870	10.132	0.50502
24.0000	1.5015e+05	26064.0	0.17358	9.848	0.50027
25.0000	1.5204e+05	25703.0	0.16905	9.595	0.50565
26.0000	1.5522e+05	25815.7	0.16632	9.443	0.50158
27.0000	1.5818e+05	26114.2	0.16509	9.375	0.51662
28.0000	1.6163e+05	24959.9	0.15442	8.778	0.52772
29.0000	1.6450e+05	25014.4	0.15207	8.646	0.51247
30.0000	1.6771e+05	24257.8	0.14464	8.230	0.51954
31.0000	1.7124e+05	24296.8	0.14189	8.076	0.51577
32.0000	1.7380e+05	23147.3	0.13318	7.586	0.50462
33.0000	1.7552e+05	21714.6	0.12372	7.053	0.50787
34.0000	1.8038e+05	20415.1	0.11318	6.457	0.50468
35.0000	1.8408e+05	20074.0	0.10905	6.224	0.50033
36.0000	1.8543e+05	19476.6	0.10503	5.996	0.50225
37.0000	1.8810e+05	18336.7	0.09748	5.568	0.43165
38.0000	1.9424e+05	16948.2	0.08725	4.987	0.50376
39.0000	1.9624e+05	16620.2	0.08469	4.841	0.44532
40.0000	1.9991e+05	14136.9	0.07072	4.045	0.50194
41.0000	2.0456e+05	12935.9	0.06324	3.618	0.45352
42.0000	2.0535e+05	11916.1	0.05803	3.321	0.50149
43.0000	2.0825e+05	10220.4	0.04908	2.810	0.45844
